iter	Logloss
0	0.6858852288
1	0.6771107882
2	0.6699778392
3	0.6646821514
4	0.6573624613
5	0.6506375536
6	0.6439751542
7	0.6377886684
8	0.6306478085
9	0.62419882
10	0.6175638524
11	0.6113970181
12	0.6074741278
13	0.6023510651
14	0.5982948068
15	0.592283061
16	0.5881205057
17	0.5836381522
18	0.5791018766
19	0.5745334666
20	0.5720990928
21	0.5676375143
22	0.5636440937
23	0.5585341352
24	0.5557795137
25	0.5511278901
26	0.5469938209
27	0.543899262
28	0.5398504862
29	0.5364082366
30	0.5330163452
31	0.529796255
32	0.525496428
33	0.5230169854
34	0.5201127289
35	0.5171291908
36	0.5139964263
37	0.5103969959
38	0.5074645643
39	0.5038306855
40	0.5008578406
41	0.4991826607
42	0.4967630791
43	0.493929059
44	0.4910267913
45	0.4886440058
46	0.4869739858
47	0.4859141896
48	0.4840252184
49	0.4818454273
50	0.4791465445
51	0.4770342811
52	0.4751030963
53	0.472419458
54	0.4700881422
55	0.4682997912
56	0.4667715615
57	0.4657420525
58	0.4642624944
59	0.4625227277
60	0.4610707685
61	0.4598413363
62	0.4574082153
63	0.4556127586
64	0.454543495
65	0.4528049869
66	0.4514388187
67	0.4498564369
68	0.4485880486
69	0.4467653787
70	0.4458391227
71	0.4437746101
72	0.4423896208
73	0.4410497805
74	0.4393903357
75	0.4372543929
76	0.436154672
77	0.4342285719
78	0.432728607
79	0.4313863338
80	0.4292735588
81	0.4275907695
82	0.4259848662
83	0.4252218101
84	0.4239123342
85	0.4228482081
86	0.4220607371
87	0.4207637678
88	0.4192854798
89	0.4175766967
90	0.4163076303
91	0.4151943544
92	0.4140825401
93	0.4127514086
94	0.4110584683
95	0.4104232089
96	0.4095072452
97	0.408209053
98	0.4073951678
99	0.4062715044
100	0.4047716486
101	0.4031412232
102	0.4019317453
103	0.4012925747
104	0.4003837729
105	0.3993195983
106	0.3980549884
107	0.3964722332
108	0.3954905155
109	0.3945774675
110	0.3938336653
111	0.3932965689
112	0.3922997133
113	0.3909783178
114	0.3896091833
115	0.388791303
116	0.3881789724
117	0.3873310657
118	0.3861950237
119	0.3850562838
120	0.3833462231
121	0.3820055277
122	0.3806744647
123	0.3797843574
124	0.3791452686
125	0.3785975228
126	0.3775889944
127	0.3765559578
128	0.3757536737
129	0.3746746514
130	0.3736208155
131	0.3729201631
132	0.3720692636
133	0.3711232811
134	0.3699233503
135	0.3688771285
136	0.3680696911
137	0.3668522907
138	0.3656378125
139	0.3641925119
140	0.3630977127
141	0.3621252046
142	0.3612504765
143	0.3602478211
144	0.3594295467
145	0.3584773349
146	0.3576235807
147	0.356673332
148	0.355969425
149	0.3554073216
150	0.3541471721
151	0.3534348507
152	0.3524023496
153	0.3512818448
154	0.3500455719
155	0.3494442839
156	0.348642476
157	0.347815086
158	0.3469539355
159	0.3464886264
160	0.3458270039
161	0.3453797584
162	0.3446264783
163	0.3438843081
164	0.343309831
165	0.3427014307
166	0.3414907581
167	0.3410089332
168	0.3402070454
169	0.3394179212
170	0.3390455707
171	0.3384561592
172	0.337510445
173	0.3366945927
174	0.3357077276
175	0.3351644953
176	0.3343832997
177	0.3336269766
178	0.3329347275
179	0.3324452909
180	0.3316705873
181	0.3313097775
182	0.3305260702
183	0.3293285652
184	0.3288274269
185	0.3281818254
186	0.3275073382
187	0.3265827251
188	0.3259370207
189	0.3254125759
190	0.3245806836
191	0.3236248899
192	0.3229953383
193	0.3223309043
194	0.3213400517
195	0.3204811513
196	0.3202066413
197	0.3194241016
198	0.3191354755
199	0.3185797238
200	0.3178030225
201	0.317367744
202	0.3166609827
203	0.3160609267
204	0.3155583849
205	0.31494143
206	0.3141473278
207	0.3135058165
208	0.3130374102
209	0.3127176808
210	0.3119606115
211	0.3114318885
212	0.310658601
213	0.3098627171
214	0.3092975469
215	0.3086907942
216	0.3080712262
217	0.3076332192
218	0.3068961905
219	0.3060375755
220	0.3055141872
221	0.3048030726
222	0.3043300752
223	0.3039362879
224	0.3032221425
225	0.3023899115
226	0.3017086881
227	0.3010804358
228	0.300665689
229	0.3000526208
230	0.2994709089
231	0.2988019437
232	0.2979984534
233	0.2976805092
234	0.2969288539
235	0.2964380382
236	0.2958294299
237	0.2954956563
238	0.2950565291
239	0.2946110203
240	0.2937977975
241	0.2932336705
242	0.2929651945
243	0.2925006707
244	0.2921833843
245	0.2916689463
246	0.2909003062
247	0.2903712628
248	0.2900307686
249	0.2894266159
250	0.2889436846
251	0.2885842864
252	0.2880291667
253	0.2875337335
254	0.2869228531
255	0.2866124506
256	0.2863661264
257	0.2860639251
258	0.2855474054
259	0.2850528617
260	0.2847763571
261	0.2841422632
262	0.2834714402
263	0.2827920265
264	0.2823197175
265	0.2819756492
266	0.2814972311
267	0.2810328379
268	0.280482536
269	0.2799512577
270	0.2795348434
271	0.2790213796
272	0.278335412
273	0.2780226603
274	0.2774426092
275	0.2767706284
276	0.2763480627
277	0.275933847
278	0.2749441522
279	0.2745888312
280	0.2742185726
281	0.2734266813
282	0.2730313618
283	0.2726718309
284	0.2721481556
285	0.2717189372
286	0.2710719186
287	0.2707725526
288	0.2703747462
289	0.2699767034
290	0.2697103517
291	0.2692492226
292	0.2687725204
293	0.2680850071
294	0.2674316555
295	0.266801679
296	0.2665048459
297	0.266053159
298	0.2655184115
299	0.2652027216
300	0.2646367013
301	0.2641617364
302	0.2634592162
303	0.2630730117
304	0.2625992829
305	0.2620478928
306	0.2616197541
307	0.26111779
308	0.2607529796
309	0.2603866476
310	0.2599401951
311	0.2591857164
312	0.2589538554
313	0.2583898077
314	0.2580522253
315	0.2576929054
316	0.2573049586
317	0.2570098072
318	0.2562873422
319	0.2558217212
320	0.2552975276
321	0.2548677602
322	0.2544731479
323	0.25414343
324	0.2538351356
325	0.2533860188
326	0.2529359396
327	0.2524546184
328	0.25223466
329	0.2515302019
330	0.2512814796
331	0.2507362798
332	0.2503848579
333	0.2502576029
334	0.250021904
335	0.2496770006
336	0.2491191137
337	0.2485409063
338	0.2483228353
339	0.2479534729
340	0.2475958209
341	0.2472352217
342	0.2468926841
343	0.246577891
344	0.2464422634
345	0.2460413782
346	0.2456736096
347	0.2452737049
348	0.244766655
349	0.2444617878
350	0.2438008322
351	0.2432998665
352	0.2429159914
353	0.2425135678
354	0.2421875229
355	0.2416595258
356	0.2411469151
357	0.2407793714
358	0.2402642689
359	0.2397276897
360	0.2392939861
361	0.2388669809
362	0.2380052619
363	0.2375845789
364	0.2370172175
365	0.2367547622
366	0.2363600814
367	0.2357952715
368	0.2353751022
