iter	Passed	Remaining
613	1120	704
614	1122	702
615	1123	700
616	1125	698
617	1127	696
618	1128	694
619	1131	693
620	1133	691
621	1134	689
622	1136	687
623	1138	685
624	1139	683
625	1141	682
626	1143	680
627	1146	679
628	1153	680
629	1162	682
630	1167	682
631	1169	681
632	1174	681
633	1176	679
634	1178	677
635	1181	676
636	1182	674
637	1184	672
638	1186	670
639	1188	668
640	1189	666
641	1191	664
642	1192	662
643	1194	660
644	1197	658
645	1199	657
646	1200	655
647	1202	653
648	1204	651
649	1206	649
650	1207	647
651	1209	645
652	1211	643
653	1212	641
654	1214	639
655	1216	637
656	1217	635
657	1219	633
658	1221	631
659	1222	629
660	1224	627
661	1225	625
662	1227	623
663	1229	622
664	1231	620
665	1233	618
666	1235	616
667	1237	614
668	1239	613
669	1240	611
670	1242	609
671	1244	607
672	1246	605
673	1247	603
674	1249	601
675	1250	599
676	1252	597
677	1254	595
678	1256	593
679	1258	592
680	1260	590
681	1262	588
682	1264	586
683	1266	584
684	1267	583
685	1269	581
686	1271	579
687	1273	577
688	1275	575
689	1277	573
690	1279	572
691	1281	570
692	1283	568
693	1285	566
694	1287	565
695	1290	563
696	1292	561
697	1293	559
698	1295	558
699	1297	556
700	1299	554
701	1301	552
702	1303	550
703	1305	549
704	1309	547
705	1311	546
706	1313	544
707	1315	542
708	1317	540
709	1319	538
710	1321	537
711	1323	535
712	1325	533
713	1326	531
714	1328	529
715	1330	527
716	1332	525
717	1334	523
718	1335	522
719	1337	520
720	1339	518
721	1341	516
722	1343	514
723	1345	512
724	1346	510
725	1348	508
726	1350	506
727	1351	505
728	1353	503
729	1355	501
730	1356	499
731	1358	497
732	1359	495
733	1361	493
734	1363	491
735	1365	489
736	1366	487
737	1368	485
738	1370	483
739	1373	482
740	1375	480
741	1377	479
742	1379	477
743	1381	475
744	1382	473
745	1384	471
746	1386	469
747	1388	467
748	1390	465
749	1392	464
750	1393	462
751	1396	460
752	1397	458
753	1400	456
754	1401	454
755	1403	452
756	1405	451
757	1407	449
758	1408	447
759	1410	445
760	1412	443
761	1414	441
762	1415	439
763	1417	437
764	1419	435
765	1420	433
766	1422	432
767	1424	430
768	1426	428
769	1428	426
770	1429	424
771	1431	422
772	1433	420
773	1435	419
774	1437	417
775	1440	415
776	1442	413
777	1444	412
778	1446	410
779	1448	408
780	1450	406
781	1453	405
782	1454	403
783	1457	401
784	1459	399
785	1461	397
786	1462	395
787	1464	394
788	1466	392
789	1468	390
790	1471	388
791	1473	386
792	1474	384
793	1476	383
794	1477	381
795	1479	379
796	1481	377
797	1483	375
798	1484	373
799	1486	371
800	1488	369
801	1489	367
802	1491	365
803	1492	363
804	1494	362
805	1496	360
806	1498	358
807	1500	356
808	1501	354
809	1503	352
810	1505	350
811	1506	348
812	1508	346
813	1509	345
814	1511	343
815	1513	341
816	1514	339
817	1516	337
818	1517	335
819	1519	333
820	1520	331
821	1522	329
822	1524	327
823	1526	326
824	1528	324
825	1529	322
826	1531	320
827	1533	318
828	1535	316
829	1537	314
830	1539	313
831	1542	311
832	1543	309
833	1545	307
834	1547	305
835	1549	303
836	1550	302
837	1552	300
838	1554	298
839	1556	296
840	1557	294
841	1559	292
842	1561	290
843	1562	288
844	1564	286
845	1566	285
846	1568	283
847	1570	281
848	1571	279
849	1573	277
850	1575	275
851	1577	273
852	1578	272
853	1580	270
854	1581	268
855	1583	266
856	1585	264
857	1587	262
858	1589	260
859	1591	259
860	1593	257
861	1595	255
862	1596	253
863	1598	251
864	1600	249
865	1601	247
866	1603	245
867	1604	244
868	1606	242
869	1608	240
870	1610	238
871	1612	236
872	1613	234
873	1615	232
874	1616	230
875	1618	229
876	1620	227
877	1621	225
878	1623	223
879	1624	221
880	1626	219
881	1628	217
882	1630	215
883	1631	214
884	1633	212
885	1634	210
886	1636	208
887	1638	206
888	1640	204
889	1641	202
890	1643	201
891	1645	199
892	1646	197
893	1648	195
894	1649	193
895	1651	191
896	1652	189
897	1654	187
898	1656	186
899	1659	184
900	1661	182
901	1663	180
902	1665	178
903	1667	177
904	1669	175
905	1671	173
906	1673	171
907	1676	169
908	1679	168
909	1681	166
910	1683	164
911	1686	162
912	1688	160
913	1690	159
914	1692	157
915	1694	155
916	1697	153
917	1701	151
918	1704	150
919	1707	148
920	1709	146
921	1712	144
922	1715	143
923	1716	141
924	1719	139
925	1721	137
926	1722	135
927	1724	133
928	1726	131
929	1728	130
930	1731	128
931	1733	126
932	1735	124
933	1737	122
934	1738	120
935	1740	119
936	1742	117
937	1743	115
938	1745	113
939	1747	111
940	1748	109
941	1750	107
942	1752	105
943	1754	104
944	1755	102
945	1757	100
946	1758	98
947	1760	96
948	1762	94
949	1764	92
950	1765	90
951	1767	89
952	1769	87
953	1770	85
954	1773	83
955	1774	81
956	1776	79
957	1778	77
958	1779	76
959	1781	74
960	1783	72
961	1784	70
962	1786	68
963	1787	66
964	1789	64
965	1791	63
966	1793	61
967	1795	59
968	1796	57
969	1798	55
970	1799	53
971	1801	51
972	1803	50
973	1805	48
974	1806	46
975	1809	44
976	1811	42
977	1812	40
978	1814	38
979	1816	37
980	1818	35
981	1820	33
982	1822	31
983	1823	29
984	1825	27
985	1827	25
986	1829	24
987	1831	22
988	1832	20
989	1834	18
990	1835	16
991	1837	14
992	1839	12
993	1840	11
994	1842	9
995	1844	7
996	1846	5
997	1847	3
998	1849	1
999	1851	0
